gvkey,splticrm,spsdrm,spsticrm,datadate,city,conml,ggroup,gind,gsector,gsubind,idbflag,loc,naics,sic,spcindcd,spcseccd,spcsrc,state,conm,tic
1013, , , ,1/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,2/28/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,3/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,4/30/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,5/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,6/30/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,7/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,8/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,9/30/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
1013, , , ,10/31/2010,Eden Prairie,ADC Telecommunications Inc.,4520,452010,45,45201020,D,USA,334210,3661,180,940,B,MN,ADC TELECOMMUNICATIONS INC,ADCT
