gvkey,datadate,fyear,datafmt,tic,conm,acctchg,ajex,ajp,curncd,currtr,fyr,acdo,aco,acodo,acominc,acox,acqic,acqintan,acqinvt,acqppe,acqsc,act,aldo,am,ano,ao,aocidergl,aociother,aocipen,aocisecgl,aodo,aol2,aoloch,aox,ap,apalch,aqa,aqc,aqd,aqeps,aqi,aqp,aqpl1,aqs,at,aul3,bast,bastr,bkvlps,caps,capx,capxv,ceq,ceql,ceqt,ch,che,chech,ci,cibegni,cicurr,cidergl,cimii,ciother,cipen,cisecgl,citotal,cld2,cld3,cld4,cld5,cogs,cshfd,cshi,csho,cshpri,cshr,cstk,cstkcv,cstke,dc,dclo,dcom,dcpstk,dcs,dcvsr,dcvsub,dcvt,dd,dd1,dd2,dd3,dd4,dd5,diladj,dilavx,dlc,dlcch,dltis,dlto,dltp,dltr,dltt,dm,dn,do,donr,dp,dpact,dpc,dpvieb,drc,drlt,ds,dtea,dted,dteeps,dtep,dudd,dv,dvc,dvp,dvpa,dvt,dxd2,dxd3,dxd4,dxd5,ebit,ebitda,emp,epsfi,epsfx,epspi,epspx,esub,esubc,exre,fatb,fatc,fate,fatl,fato,fatp,fca,fiao,fincf,fopo,fopox,gdwl,gdwlia,gdwlid,gdwlieps,gdwlip,gla,glcea,glced,glceeps,glcep,gld,gleps,glp,gp,hedgegl,ib,ibadj,ibc,ibcom,ibmii,icapt,idit,intan,intano,intc,intpn,invch,invfg,invo,invrm,invt,invwip,irent,itcb,itci,ivaco,ivaeq,ivao,ivch,ivncf,ivst,ivstch,lco,lcox,lcoxdr,lct,lifr,lno,lo,lol2,loxdr,lqpl1,lse,lt,lul3,mib,mibn,mibt,mii,mrc1,mrc2,mrc3,mrc4,mrc5,mrct,mrcta,msa,ni,niadj,nipfc,nipfp,nopi,nopio,np,nrtxt,nrtxtd,nrtxteps,oancf,ob,oiadp,oibdp,opeps,oprepsx,optca,optdr,optex,optexd,optfvgr,optgr,optlife,optosby,optosey,optprcby,optprcca,optprcex,optprcey,optprcgr,optprcwa,optrfr,optvol,pi,pidom,pifo,pnca,pncad,pncaeps,pncia,pncid,pncieps,pncip,pncwia,pncwid,pncwieps,pncwip,pnrsho,ppegt,ppent,ppeveb,prca,prcad,prcaeps,prsho,prstkc,pstk,pstkc,pstkl,pstkn,pstkr,pstkrv,rca,rcd,rceps,rcl,rcp,rdip,rdipa,rdipd,rdipeps,re,rea,reajo,recch,recco,recd,rect,recta,rectr,recub,reuna,reunr,revt,rra,rrd,rreps,rrp,sale,salepfc,salepfp,seq,seqo,seta,setd,seteps,setp,siv,spce,spced,spceeps,spi,spid,spieps,spioa,spiop,sppe,sppiv,sstk,stkco,stkcpa,teq,tfva,tfvce,tfvl,tlcf,tstk,tstkc,tstkme,tstkn,tstkp,txach,txbco,txbcof,txc,txdb,txdba,txdbca,txdbcl,txdc,txdfed,txdfo,txdi,txditc,txds,txfed,txfo,txndb,txndba,txndbl,txndbr,txo,txp,txpd,txr,txs,txt,txtubadjust,txtubbegin,txtubend,txtubmax,txtubmin,txtubposdec,txtubposinc,txtubpospdec,txtubpospinc,txtubsettle,txtubsoflimit,txtubtxtr,txtubxintbs,txtubxintis,wcap,wda,wdd,wdeps,wdp,xacc,xad,xido,xidoc,xint,xintd,xopr,xpp,xpr,xrd,xrent,xsga,dlrsn,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,spcsrc
1013,9/30/10,2010,SUMM_STD,ADCT,ADC TELECOMMUNICATIONS INC, , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1474.5, , , , , ,29.4, , , , , , , , , , , , , , , , , , , , ,677.2,98.5, , ,96.9, , , , , , , , , , , , , , , , , , , , , , , , , , ,650.8, , , , ,61.5, , , , , , , , , , , , , , , , , , , , , , , ,0.63,0.78,0.64,0.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77.2, , , ,78.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.3, , , , , , , , ,62, , , ,53.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85.6, , , , , , , , , , , , , , , ,146.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-898.4, , , , , , ,1156.6, , ,429.6, , , , , , , , , , , , , , , , , , , ,434.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.1, , , , , , , , , , , , , , ,819, , , , , , ,-15.2, ,27.4, , , , , , ,358,1,4520,452010,45,45201020,334210,3661,180,940,B
14898,12/31/10,2010,STD,DDD,3D SYSTEMS CORP, ,3,3,USD,1,12,0,3.169,3.169,4.958,3.169, , , , , ,100.14,0,1.402,0,3.738,0,0,0.073,0,3.738,0,4.605,3.738,26.556,12.938, ,19.195, , ,0.075, ,22.045,6.17,208.8,0, , ,5.7035,186.252,1.283,1.283,133.119,133.119,55.866,37.349,37.36,12.436,19.907,19.566,0.406,0,0,0,-0.065,0,19.907,0.707,0.707,0.706,0.703,78.372,23.464,23.474,23.34,23.084,0.461,0.023,0.001,0,0,8.055,0,0, ,0,0,0,0,0.224,0.707,0.707,0.706,0.703,0,19.566,0.224, ,0,0, ,0.216,8.055,8.055,0,0,0,7.52,25.701,7.52,25.701,10.618,0,0, , , , ,0,0,0,0,0,0,0,0,0,0,20.92,28.44,0.484,0.83,0.83,0.85,0.85,0,0,0.325,9.574,0.98,34.017,5.504,3.143,0.152,-0.319,0.043,1.041,1.508,1.508,58.978, , , , , , , , , , , , ,81.496, ,19.566,19.566,19.566,19.566,19.566,141.174,0.032,77.253,18.275,0,0.589,-5.693,16.874,0,6.742,23.811,0.195, ,0, ,-0.296,0,0,0,-20.774,0.011, ,27.783,17.272,6.654,57.665,0,0,9.961,0,9.961,0,208.8,75.681,0,0,0,0,0,1.481,1.014,0.63,0.407,0.225,3.757,0.16,0,19.566,19.566, , ,-0.594,-0.626,0, , , ,31.844,7.6,20.92,28.44,0.85,0.83,0.008, ,0.777,0.079, ,0, ,0.864,0.777,9.2,10.68,14.26,8.67, ,8.67, , ,19.739,15.273,4.466,0,0,0, , , , ,0.113,0,0,0.174,0,53.37,27.669,53.37,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-52.967,0,0.073,-7.456,0,2.017,35.8,4.885,35.8, ,-57.925, ,159.868, , , , ,159.868, , ,133.119,0, , , , ,0,19.566,0.83,0.85,0, , , , , ,0.091,1.214,1.406, ,133.119,22.045,0,0, ,0.189,0.189, ,0.134,0, ,0,0,1.408, , ,1.874, ,-1.235,-1.05,-0.103,-1.235, ,-0.082,-0.081,1.366,-1.26,2.85,4.11,0,0,3.102,0.711,0,0.123,0.173,0,-0.352,-0.429, , ,0.003,0.072,0.149,0.019,0.016,0, , , ,42.475, , , , ,10.511,0.816,0,0,0.587, ,131.428, ,0.553,10.725,1.977,53.056, ,4520,452020,45,45202030,333249,3559,247,940,B-
1072,3/31/10,2009,SUMM_STD,AVX,AVX CORP, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2051.492, , , , , ,28.888, , , , , , , , , , , , , , , , , , , , ,969.195,170.274, , ,170.247, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,58.173, , , , , , , , , , , , , , , , , , , , , , , ,0.84,0.84,0.84,0.84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,142.858, , , ,142.858, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,142.858, , , ,7.397, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,176.357, , , , , , , , , , , , , , , ,247.029, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1517.818, , , , , , ,1304.966, , ,1801.007, , , , , , , , , , , , , , , , , , , ,1801.007, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33.499, , , , , , , , , , , , , , ,1123.085, , , , , , ,0, ,0.111, , , , , , ,108.527, ,4520,452030,45,45203015,334416,3670,220,925,B
14898,12/31/11,2011,STD,DDD,3D SYSTEMS CORP, ,1.5,1.5,USD,1,12,0,5.769,5.769,2.94,5.769, ,89.881, ,3.597,24.127,261.38,0,4.825,0,10.309,0,0,-0.202,0,10.309,0,-0.732,10.309,25.911,-3.316, ,92.677, , ,0.046, ,143.881,21.09,462.974,0, , ,5.0303,274.542,2.87,2.87,254.788,254.788,93.097,179.12,179.133,141.771,33.402,35.42,-1.743,0,0,0,-0.275,0,33.402,0.696,0.695,0.706,0.683,121.395,50.723,50.975,50.651,49.748,0.448,0.051,0.001,0,0,7.609,0,131.107, ,131.107,0,131.107,0,0.163,0.696,0.695,0.706,131.79,0,35.42,0.163, ,148.96,0, ,0.221,138.716,7.609,0,0,0,11.092,30.235,11.502,30.235,12.735,0,0, , , , ,0, ,0.026,0,0,0.026,0,0,0,131.107,38.566,49.658,0.714,0.7,0.7,0.71,0.71,0,0,-0.155,9.204,0.98,39.967,5.996,3.141,0.541,-0.118,-3.582,209.975,4.368,4.368,107.651, , , , , , , , , , , , ,109.028, ,35.42,35.42,35.42,35.42,35.42,393.504,0.051,161.691,54.04,0,1.188,-2.608,15.88,0,8.797,25.283,0.606, ,0, ,-0.162,0,0,0,-95.709,0.013, ,29.449,17.517,4.782,59.023,0,0,10.447,0,10.447,0,462.974,208.186,0,0,0,0,0,2.517,1.502,0.862,0.735,0.626,6.242,0.488,0,35.42,35.42,34.144,20.102,-0.366,-0.417,0, , , ,27.66,8.3,38.566,49.658,0.76,0.75,0.026, ,1.076,0.452, ,0, ,1.554,1.076,4.34,6.72,5.61,3.76, ,3.76, , ,32.446,25.057,7.389,0,0,0, , , , ,0.127,0,0,0.196,0,59.829,29.594,59.829,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-19.591,0,-0.202,-12.09,0,3.019,51.195,3.142,51.195, ,-22.531, ,230.423, , , , ,230.423,233.612,185.055,254.788,0, , , , ,0,35.42,0.7,0.71,-3.664, , , , , ,0.256,64.818,2.637, ,254.788,143.881,0,0, ,0.214,0.214, ,0.324,0, ,0,0,2.166, ,3.195,3.528, ,-5.14,-4.727,-0.224,-5.14, ,-0.189,0,1.799,3.067,21.765,18.698,0,0,3.5,1.523,0,0.367,-2.974,0,-0.429,-0.393, , ,0,0,0.002,0.028,-0.01,0, , , ,202.357, , , , ,11.932,1.561,0,0,2.09, ,180.765, ,0.551,14.331,2.738,59.37, ,4520,452020,45,45202030,333249,3559,247,940,B-
1072,3/31/11,2010,SUMM_STD,AVX,AVX CORP, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2319.482, , , , , ,27.47, , , , , , , , , , , , , , , , , , , , ,1148.171,170.39, , ,170.025, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,47.619, , , , , , , , , , , , , , , , , , , , , , , ,1.43,1.43,1.44,1.44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,244.003, , , ,244.003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,244.003, , , ,0.76, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334.259, , , , , , , , , , , , , , , ,235.659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1729.507, , , , , , ,1653.176, , ,2039.417, , , , , , , , , , , , , , , , , , , ,2039.417, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90.256, , , , , , , , , , , , , , ,1366.45, , , , , , ,0, ,0, , , , , , ,123.887, ,4520,452030,45,45203015,334416,3670,220,925,B
14898,12/31/12,2012,STD,DDD,3D SYSTEMS CORP, ,1.5,1.5,USD,1,12,0,9.877,9.877,3.866,9.877, ,200.407, ,9.599,55.637,287.438,0,12.788,0,6.96,0,0,-0.916,0,6.96,0,-2.217,6.96,32.095,8.843, ,183.701, , ,-6.657, ,101.906,53.344,677.442,0, , ,8.0728,460.237,3.224,3.224,480.333,480.333,131.642,155.859,155.872,-23.261,39.867,38.941,1.64,0,0,0,-0.714,0,39.867,0.697,0.709,0.683,0.709,172.437,54.482,59.855,59.5,53.878,0.517,0.06,0.001,0,0,7.443,0,80.531, ,80.531,0,80.531,0,0.174,0.697,0.709,81.214,0.709,0,38.941,0.174, ,0,0, ,0.163,87.974,7.443,0,0,0,21.229,37.029,21.229,37.029,15.309,2.787,0,-6.295,-0.12,-0.12,-7.021,0,0,0,0,0,0,0,0,80.531,0,65.671,86.9,1.01,0.71,0.71,0.72,0.72,0,0,0.223,9.315,2.595,49.283,6.467,3.181,0.541,0.145,0,111.126,19.054,19.054,240.314, , , , , , , , , , , , ,181.196, ,38.941,38.941,38.941,38.941,38.941,568.307,0.168,348.691,108.377,0,9.113,-12.225,21.018,0,20.325,41.82,0.477, ,0, ,-0.729,0,0,0,-187.654,0.013,0,39.502,20.752,5.443,75.153,0,0,10.84,0,8.053,0,677.442,197.109,0,0,0,0,0,4.269,2.827,1.784,1.537,0.986,11.403,1.012,0,38.941,38.941,38.941,27.487,0.697,0.529,0, , , ,53.044,11.4,65.671,86.9,0.91,0.9,0.02, ,0,1.056, ,0, ,1.076,0,3.76,7.12,3.7, , , , , ,43.279,34.105,9.174,0,0,0, , , , ,0.124,0,0,0.191,0,71.382,34.353,71.382,0,0,0,0, ,0,0,0,0,0,0, , , , , ,0,0,0,0,20.276,0,-0.916,-19.246,0,4.317,79.869,4.782,79.869, ,16.41, ,353.633, , , , ,353.633,353.633,286.956,480.333,0, , , , ,0,38.941,0.71,0.72,-10.621, , , , ,0,-0.674,111.289,5.118,4.613,480.333,101.906,0,0, ,0.24,0.24, ,0.355,0, ,0,0,4.999,23.142,0.107,5.867,0,-0.661,0.869,-0.732,-0.661,23.142,-0.798,0.441,3.527,-17.168,14.026,31.194,0,0,3.382,3.506,0,1.031,4.338,0,-0.393,-0.475, , ,0.004,0,0.378,0.3,0,0, , , ,212.285, , , , ,18.75,3.972,0,0,12.468, ,266.733, ,0.772,23.203,4.968,94.296, ,4520,452020,45,45202030,333249,3559,247,940,B-
14898,12/31/13,2013,STD,DDD,3D SYSTEMS CORP, ,1,1,USD,1,12,0,13.27,13.27,5.789,13.27, ,51.93, ,9.83, ,526.855,0,20.698,0,14.018,0,0.173,-1.076,0,14.018,0,3.087,14.018,51.729,1.125,-4.587,162.318,-0.05,-0.05, ,-7.057,226.895, ,1097.856,0, , ,9.0357,866.552,6.972,6.972,932.646,932.646,420.871,306.316,306.316,150.457,46.092,44.119,1.968,0,0.062,0.173,-0.168,0,46.03,0.709,0.691,0.718,0.715,245.556,98.393,103.818,103.218,98.393,0.633,0.104,0.001,0,0,7.277,0,11.416, ,11.416,0,11.416,0,0.187,0.709,12.107,0.718,0.715,0,44.107,0.187, ,0,0, ,0.157,18.693,7.277,0,0,0,30.444,42.477,30.444,42.477,24.644,4.218,0,-7.329,-0.07,-0.07,-11.275,0,0,0,0,0,0,0,11.416,0,0,87.918,118.362,1.388,0.45,0.45,0.45,0.45,0,0,0.334,9.315,4.014,60.548,9.395,3.872,0.541,-0.773,-0.163,298.696,29.75,29.75,370.066, , , , , , , , , , , , ,267.844, ,44.107,44.107,44.119,44.107,44.119,952.485,1.258,511.775,141.709,0,1.584,-30.893,37.954,0,34.144,75.148,3.05, ,0,2.688,-6.349,0,0,0,-173.757,0, ,56.706,35.982,11.338,110.456,0,0,15.201,0,10.983,0,1097.856,164.064,0,0,1.146,1.146,0.012,6.756,5.615,4.416,3.452,2.89,23.129,2.1,0,44.107,44.107, , ,0.329,-0.929,0, , , ,25.184,28.6,87.918,118.362,0.59,0.59,0, ,0,0, ,0, ,0,0, , , , , , , , ,64.006,55.826,8.18,0,0,0, , , , ,0.164,0,0,0.253,0,87.685,45.208,87.685,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,66.276,0,-0.903,-43.684,0,8.133,132.121,6.692,132.121, ,60.487, ,513.4, , , , ,513.4, , ,932.646,0,-1.597,-0.02,-0.02,-2.457,0,45.704,0.47,0.47,-20.789, , , , ,1.882,1.128,272.978,13.558, ,933.792,226.895,0,0, ,0.286,0.286, ,0.6,0, ,0,26.038,29.779,19.714,0.548,6.067,0,-9.892,-7.76,-1.682,-9.892,19.714,-0.45,24.688,3.165,-13.099,19.638,32.737,0,0,1.834,5.642,0,1.926,19.887,0,-0.475,-0.016, , ,0,0,0,0.38,-0.079,0, , , ,416.399, , , , ,20.724,6.01,0,0,3.452, ,395.038, ,0.924,43.489,6.891,149.482, ,4520,452020,45,45202030,333249,3559,247,940,B-
1072,3/31/12,2011,SUMM_STD,AVX,AVX CORP, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2468.012, , , , , ,49.201, , , , , , , , , , , , , , , , , , , , ,1106.405,170.134, , ,169.886, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,46.89, , , , , , , , , , , , , , , , , , , , , , , ,0.9,0.9,0.9,0.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,152.805, , , ,152.805, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,152.805, , , ,-94.939, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,179.905, , , , , , , , , , , , , , , ,236.488, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1838.14, , , , , , ,1545.254, , ,2120.753, , , , , , , , , , , , , , , , , , , ,2120.753, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.1, , , , , , , , , , , , , , ,1430.072, , , , , , ,0, ,0.707, , , , , , ,116.408, ,4520,452030,45,45203015,334416,3670,220,925,B
1072,3/31/13,2012,SUMM_STD,AVX,AVX CORP, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2601.995, , , , , ,43.705, , , , , , , , , , , , , , , , , , , , ,1103.759,169.124, , ,169.124, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,46.871, , , , , , , , , , , , , , , , , , , , , , , ,-0.38,-0.38,-0.38,-0.38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-64.312, , , ,-64.312, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,-64.312, , , ,-257.465, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-113.322, , , , , , , , , , , , , , , ,258.264, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1723.07, , , , , , ,1414.4, , ,1972.93, , , , , , , , , , , , , , , , , , , ,1972.93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-49.01, , , , , , , , , , , , , , ,1614.656, , , , , , ,0, ,2.262, , , , , , ,117.365, ,4520,452030,45,45203015,334416,3670,220,925,B
178866,3/31/10,2009,STD,PAR.3,3PAR INC, ,1,1,USD,1,3,0,7.287,7.287,-0.013,7.287, , , , , ,188.153,0,0,0,0.423,0,0,0,0,0.423,39.534,2.82,0.423,15.462,1.911, ,0, , ,0, ,55.458,0,212.298,0,0,0,2.1994,315.306,10.018,10.018,137.23,137.23,137.23,39.047,111.306,-8.574,-3.176,-3.184,0,0,0,0,0,0.008,-3.176,0,0,0,0,59.241,61.756,62.394,62.394,61.756,0.161,0.062,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.184,0,0,0,0,0,0,0,0,0,0,0,8.642,34.692,9.304,34.692,27.648,9.072,0, , , , ,0,0,0,0,0,0,0,0,0,0,-3.333,5.309,0.657,-0.05,-0.05,-0.05,-0.05,0,0,0,0,0,45.254,8.585,4.575,0,-0.148,0,6.423,11.347,11.632,0, , , , , , , , , , , , ,135.043, ,-3.184,-3.184,-3.184,-3.184,-3.184,137.23,0.551,0,0,0,0,-4.095,2.379,0,25.009,29.752,2.364, ,0,0,0,0,0,0,-26.745,72.259,-16.727,46.341,27.648,0,61.803,0,0,13.265,0,4.193,0,212.298,75.068,0,0,0,0,0,2.551,2.457,2.117,1.479,0.272,8.876,0.038,-0.013,-3.184,-3.184, , ,0.403,-0.148,0, , , ,11.748, ,-3.333,5.309,-0.05,-0.05,0.778,0,5.029,0.852,4.29,2.765,4.03,8.17,9.305,6.54,9.29,3.36,7.44,9.37,6.06,1.97,57.2,-2.93,-3.714,0.784,0,0,0, , , , , , , , ,0,58.414,23.722,58.414,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-178.138,0,0,-6.355,0,2.217,39.808,0,39.808, ,-178.125, ,194.284, , , , ,194.284, , ,137.23,0, , , , ,0,-3.184,-0.05,-0.05,0, , , , ,0,0,6.138,9.386,9.386,137.23,94.992, ,0,208.2,0,0, ,0,0,0,-0.285,0.285,0.293,0, , ,0,0,0,-0.039,-0.039,0,0,0.063,0.164,0.039,0.039,0,0,0,0,0.364,0,0.066,0.254,0,2.835,3.241, , ,0,0.406,0,0,0,0,0,0,0,126.35, , , , ,18.693, ,0,0,0,0,188.975, ,0,47.555,3.5,129.734,1,4520,452020,45,45202010,334112,3572, , , 
