FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"AAC Holdings, Inc.",New York SE,AAC,Ongoing,#NULL!,2015
Actividentity Corporation,NASDAQ,ACTI,Yes,#NULL!,2010
Altisource Asset Management Corporation,New York SE,AAMC,Ongoing,#NULL!,2015
"APPLE Computer, Inc.",NASDAQ,AAPL,No,"$16,500,000.00",2006
"Avalanche Biotechnologies, Inc.",NASDAQ,AAVL,Ongoing,#NULL!,2015
"Acura Pharmaceuticals, Inc.",NASDAQ,ACUR,No,"$1,500,000.00",2010
"Abengoa, S.A. : American Depositary Shares",NASDAQ,ABGB,Ongoing,#NULL!,2015
"Abiomed, Inc.",NASDAQ,ABMD,Ongoing,#NULL!,2012
"Accentia Biopharmaceuticals, Inc.",Pink Sheets,ABPI,Ongoing,#NULL!,2013
"Able Laboratories, Inc.",NASDAQ,ABRX,No,"$9,150,000.00",2005
Barrick Gold Corporation,New York SE,ABX,Ongoing,#NULL!,2013
"ACA Capital Holdings, Inc.",New York SE,ACA,Yes,#NULL!,2007
ACADIA Pharmaceuticals Inc.,NASDAQ,ACAD,Ongoing,#NULL!,2015
American Capital Ltd.,NASDAQ,ACAS,No,"$18,000,000.00",2008
"American Capital Corporation : American Capital Corporation and Royal Palm Capital Group, Inc. Securities",Privately TRADED,ACCN.PK,No,"$3,400,000.00",2007
"Achillion Pharmaceuticals, Inc.",NASDAQ,ACHN,Ongoing,#NULL!,2013
"Active Power, Inc.",NASDAQ,ACPW,Ongoing,#NULL!,2013
"AcelRx Pharmaceuticals, Inc.",NASDAQ,ACRX,Ongoing,#NULL!,2014
"AcelRx Pharmaceuticals, Inc.",NASDAQ,ACRX,Ongoing,#NULL!,2014
Alberto-Culver Company,New York SE,ACV,Yes,#NULL!,2010
"ADC Telecommunications, Inc.",NASDAQ,ADCT,Yes,#NULL!,2010
Addus HomeCare Corporation,NASDAQ,ADUS,No,"$3,000,000.00",2010
"Alternate Energy Holdings, Inc.",Pink Sheets,AEHI,No,"$450,000.00",2010
"ADVO, Inc.",New York SE,AD,No,"$12,500,000.00",2006
AuthentiDate Holding Corporation,NASDAQ,ADAT,No,"$1,900,000.00",2005
"AUDIBLE ,Inc.",NASDAQ,ADBL,Yes,#NULL!,2005
"Almost Family, Inc.",NASDAQ,AFAM,Yes,#NULL!,2010
"Advanced Emissions Solutions, Inc.",NASDAQ,ADES,Ongoing,#NULL!,2014
ADE Corporation,NASDAQ,ADEX,No,#NULL!,2006
Alcobra Ltd.,NASDAQ,ADHD,Ongoing,#NULL!,2014
Allied Capital Corporation,New York SE,ALD,No,#NULL!,2010
Andrx Corporation,NASDAQ,ADRX,No,"$8,000,000.00",2005
The ADT Corporation,New York SE,ADT,Ongoing,#NULL!,2014
"AMAG Pharmaceuticals, Inc.",NASDAQ,AMAG,Yes,#NULL!,2010
Advanta Corporation,NASDAQ,ADVNB,No,"$13,250,000.00",2009
"Aegerion Pharmaceuticals, Inc.",NASDAQ,AEGR,Ongoing,#NULL!,2014
"Amedisys, Inc.",NASDAQ,AMED,No,"$1,200,000.00",2010
Anadarko Petroleum Corporation,New York SE,APC,No,"$12,500,000.00",2010
"Aerie Pharmaceuticals, Inc.",NASDAQ,AERI,Ongoing,#NULL!,2015
Aetna Inc.,New York SE,AET,Yes,#NULL!,2007
