FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"AAC Holdings, Inc.",New York SE,AAC,Ongoing,0,2015
Actividentity Corporation,NASDAQ,ACTI,Yes,0,2010
Altisource Asset Management Corporation,New York SE,AAMC,Ongoing,0,2015
"APPLE Computer, Inc.",NASDAQ,AAPL,No,16500000,2006
"Avalanche Biotechnologies, Inc.",NASDAQ,AAVL,Ongoing,0,2015
"Acura Pharmaceuticals, Inc.",NASDAQ,ACUR,No,1500000,2010
"Abengoa, S.A. : American Depositary Shares",NASDAQ,ABGB,Ongoing,0,2015
"Abiomed, Inc.",NASDAQ,ABMD,Ongoing,0,2012
"Accentia Biopharmaceuticals, Inc.",Pink Sheets,ABPI,Ongoing,0,2013
"Able Laboratories, Inc.",NASDAQ,ABRX,No,9150000,2005
Barrick Gold Corporation,New York SE,ABX,Ongoing,0,2013
"ACA Capital Holdings, Inc.",New York SE,ACA,Yes,0,2007
ACADIA Pharmaceuticals Inc.,NASDAQ,ACAD,Ongoing,0,2015
American Capital Ltd.,NASDAQ,ACAS,No,18000000,2008
"American Capital Corporation : American Capital Corporation and Royal Palm Capital Group, Inc. Securities",Privately TRADED,ACCN.PK,No,3400000,2007
"Achillion Pharmaceuticals, Inc.",NASDAQ,ACHN,Ongoing,0,2013
"Active Power, Inc.",NASDAQ,ACPW,Ongoing,0,2013
"AcelRx Pharmaceuticals, Inc.",NASDAQ,ACRX,Ongoing,0,2014
"AcelRx Pharmaceuticals, Inc.",NASDAQ,ACRX,Ongoing,0,2014
Alberto-Culver Company,New York SE,ACV,Yes,0,2010
"ADC Telecommunications, Inc.",NASDAQ,ADCT,Yes,0,2010
Addus HomeCare Corporation,NASDAQ,ADUS,No,3000000,2010
"Alternate Energy Holdings, Inc.",Pink Sheets,AEHI,No,450000,2010
"ADVO, Inc.",New York SE,AD,No,12500000,2006
AuthentiDate Holding Corporation,NASDAQ,ADAT,No,1900000,2005
"AUDIBLE ,Inc.",NASDAQ,ADBL,Yes,0,2005
"Almost Family, Inc.",NASDAQ,AFAM,Yes,0,2010
"Advanced Emissions Solutions, Inc.",NASDAQ,ADES,Ongoing,0,2014
ADE Corporation,NASDAQ,ADEX,No,0,2006
Alcobra Ltd.,NASDAQ,ADHD,Ongoing,0,2014
Allied Capital Corporation,New York SE,ALD,No,0,2010
Andrx Corporation,NASDAQ,ADRX,No,8000000,2005
The ADT Corporation,New York SE,ADT,Ongoing,0,2014
"AMAG Pharmaceuticals, Inc.",NASDAQ,AMAG,Yes,0,2010
Advanta Corporation,NASDAQ,ADVNB,No,13250000,2009
"Aegerion Pharmaceuticals, Inc.",NASDAQ,AEGR,Ongoing,0,2014
"Amedisys, Inc.",NASDAQ,AMED,No,1200000,2010
Anadarko Petroleum Corporation,New York SE,APC,No,12500000,2010
"Aerie Pharmaceuticals, Inc.",NASDAQ,AERI,Ongoing,0,2015
Aetna Inc.,New York SE,AET,Yes,0,2007
AudioEye Incorporated,OTC-BB,AEYE,Ongoing,0,2015
"American Public Education, Inc.",NASDAQ,APEI,Yes,0,2010
AEterna Zentaris Inc.,NASDAQ,AEZS,Ongoing,0,2014
"Apollo Group, Inc.",NASDAQ,APOL,Yes,0,2010
"Affymax, Inc.",NASDAQ,AFFY,Ongoing,0,2013
"Amtrust Financial Services, Inc.",NASDAQ,AFSI,Yes,0,2014
Antigenics Inc.,NASDAQ,AGEN,Yes,0,2006
"AtheroGenics,Inc.",NASDAQ,AGIX,Yes,0,2005
Federal Agricultural MORTGAGE Corporation (Farmer Mac),New York SE,AGM,yES,0,2008
"Valeant Pharmaceutical International, Inc. : Allergan, Inc. Common Stock",New York SE,AGN,Ongoing,0,2014
AMERIGROUP Corporation,New York SE,AGP,No,5000000,2005
"American Apparel, Inc.",American SE,APP,No,4800000,2010
"Accretive Health, Inc.",New York SE,AH,Ongoing,0,2013
American HOME MORTGAGE Investment Corporation,New York SE,AHM,No,37250000,2007
"American International Group, Inc. (AIG)",New York SE,AIG,No,960000000,2008
"Akeena SOLAR, Inc.",NASDAQ,AKNS,No,4770000,2009
"Akorn, Inc.",NASDAQ,AKRX,Ongoing,0,2015
"Assisted Living Concepts, Inc.",New York SE,ALC,Ongoing,0,2012
Allied Capital Corporation,New York SE,ALD,Yes,0,2007
"AspenBio Pharma, Inc.",NASDAQ,APPY,yES,0,2010
"Align TECHNOLOGY, Inc.",NASDAQ,ALGN,Yes,0,2009
"Align Technology, Inc.",NASDAQ,ALGN,Ongoing,0,2012
"Arena Resources, Inc.",New York SE,ARD,Yes,0,2010
Allot Communications Ltd.,NASDAQ,ALLT,No,1300000,2007
Atlas Mining Company,OTC-BB,ALMI,No,1250000,2007
"Alphatec Holdings, Inc.",NASDAQ,ATEC,Yes,0,2010
