"","acc.loss","price.trend","company.rating","eps","log.shares","cap.reserve","cash","log.common.stocks","other.finance","finance.cash.flow","other.funds","inventory.diff","investing.other","options.granted","risk.free.rate","assumed.volatility","sale.investments","log.long.tax","net.tax.liability","settlement.pct","market.valuation","was.litigated"
"1",0,0.17,2,-0.0651190476190476,17.0824765288037,3.13475481220279,-0.007,-3.32423634052603,0,0.633,0.959,0,0,0.29,4.93,200,0.002,-2.30258509299405,0,0,8896894.83134921,FALSE
"2",0,-0.46,2,-0.0661904761904762,17.3280431900041,3.14591796031788,0.001,-3.32423634052603,0.05,0.6,0.47,0.001,0,0.3,4.93,200,0,-2.30258509299405,0,0,9920204.99338624,FALSE
"3",0,-0.0619,2,-0.03872,17.4598553006127,3.18676577094997,0.035,-3.07911388249304,0,0.578,0.347,0.003,0,0,0,0,0,-2.30258509299405,0,0,3753398.79173333,FALSE
"4",0,-0.0248,2,-0.0231349206349206,17.651595199144,3.21007723051185,-0.007,-2.93746336543002,0,0.525,0.048,-0.001,0,0,0,0,0,-2.30258509299405,0,0,2724235.20555556,FALSE
"5",0,-0.35,2,-0.162661870503597,16.9636081569863,0,-0.043,-3.44201937618241,0.145,0.306,0,0.027,0,0,0,0,-0.023,-2.30258509299405,0,0,34737925.0976362,FALSE
"6",0,-0.25,2,-0.106190476190476,16.36074050811,1.97588495352154,0.338,-Inf,-0.134,2.587,0.335,-0.005,0,0.806,2.38,42,0,-2.30258509299405,0,0,14902383.9153439,FALSE
"7",-0.046,0.01,2,-0.153928571428571,16.5466764417708,2.61322656958074,0.495,-Inf,-0.042,2.04,2.009,0.021,0,2.053,1.53,38,0,-2.25379492882461,0.005,0,15478696.9246032,FALSE
"8",-0.024,0.2,2,-0.25192,16.740192058289,2.78531983659351,-0.736,-Inf,0.072,2.919,0.4,-0.068,0,1.53,0.8,26,0,-1.63475572041839,0.095,0,21127587.8433333,FALSE
"9",-0.031,-0.05,0,-0.230912698412698,16.9893300724801,3.10705000968594,0.445,-Inf,-0.898,4.219,1.759,-0.213,0,1.17,1.36,25,0,-1.34707364796661,0.16,0,39850900.9424603,FALSE
"10",0,0,0,-0.00412,17.7556684397111,0,-0.072,-2.65926003693278,0.064,0.064,0,0,0,0,0,0,0,-2.30258509299405,0,0,14999460,FALSE
"11",0.001,-0.05,0,-0.01,18.0597539164114,0,0.029,-2.65926003693278,0.727,0.727,0,0,0,0,0,0,0,-2.30258509299405,0,0,19084100.5416667,FALSE
"12",0.4,-0.0629000000000001,3,0.0739285714285714,17.8089380540412,1.31452979489058,1.6,3.62292659994543,1.12,1.048,-0.643,-2.204,0.09,0.615,2.51,81.02,-0.029,0.561328605939098,1.871,0,33944144.4873347,FALSE
"13",-0.071,-0.193,3,0.0360714285714286,17.8752505984419,1.33815398579196,-2.122,3.68514749902426,1.127,11.174,-1.273,0.174,0,1.146,1.86,75,0,0.260053905334307,-1.426,0,35454634.3576058,FALSE
"14",0.252,0.0236999999999999,3,0.03848,17.8813849984504,1.39673961898143,0.86,3.68512240523622,1.555,-1.377,-0.982,1.221,0.336,0.177,1.26,67,0.053,1.45208210165789,1.808,0,26990533.1266667,FALSE
"15",-1.315,-0.038,3,0.0707142857142857,17.8814042040124,1.45371933743468,-1.781,3.68514749902426,2.349,-0.976,-2.547,0.001,0.193,0.709,1.27,51,-0.014,1.6094379124341,2.897,0,30666966.4,FALSE
"16",-0.056,-0.29,0,-1.49742063492063,16.7532740053493,5.89169117204909,-0.499,-Inf,0,17.027,3.796,-0.481,-0.317,0.935,1.3,71,-1.624,-2.30258509299405,0,0,60883047.037037,FALSE
