"","tic","year","assets.total","cash","shares.outstanding.common","co.stock","financing.net.cash.flow","gross.profit.loss","invested.capital","total.inventories","liabilities.total","net.income.loss","volatility.assumption","risk.free.rate","retained.earnings","retained.earnings.restatement","revenue.total","working.capital","deffered.long.asset.tax","net.deferred.tax.asset","eps","trade.volume","stock.price.trend","price.close.monthly","settlement","was.litigated","quality.rating","market.cap","settlement.dollars","mpl","earnings"
"1","ADCT",2010,1474.5,518.1,97.2,23.7,-2.3,479.4,1085.2,106.4,1040.1,62,64.02,2.24,-918.4,0,1156.6,819,52.9,55.8,0.64,764871149,6.42135338345865,9.8342238616964,0,TRUE,3,955.88655935689,0,0.652959854663199,0.0650788520782768
"3","AVX",2010,2319.482,379.35,170.142,1.764,-31.985,505.005,2039.417,496.495,280.065,244.003,27,2.3,1770.681,0,1653.176,1366.45,1.651,41.006,1.44,81904368,2.64863636363636,13.7473079887631,0,FALSE,3,2338.99447582413,0,0.192665819795507,0.104747780523797
"4","AVX",2011,2468.012,395.284,169.601,1.764,-51.474,438.849,2120.753,566.117,347.259,152.805,23,1.8,1857.503,0,1545.254,1430.072,14.493,97.463,0.9,62079987,-2.74338095238095,14.2019720294643,0,FALSE,3,2408.66865816918,0,0.193169015309237,0.0633714809557999
"5","AVX",2012,2601.995,486.724,168.633,1.764,-61.175,310.641,1972.93,559.074,629.065,-64.312,28,1,1718.739,0,1414.4,1614.656,100.915,177.654,-0.38,49896479,-2.627,11.3228502266866,0,FALSE,3,1909.40620227684,0,0.232008721073469,0.0335604545138631
"6","AVX",2013,2384.988,460.674,168.221,1.764,-66.102,329.043,2047.685,550.518,337.303,127.037,29,1,1797.982,0,1442.604,1606.789,65.524,91.015,0.75,39258043,2.77714285714286,12.4523824395475,0,FALSE,3,2094.75222636312,0,0.223021005869763,0.0602294383135935
"7","RWC",2010,34.792,5.05,13.509,8.105,2.107,12.138,30.39,11.942,6.402,-0.66,80.15,2.54,-4.119,0,25.954,19.744,5.637,7.802,-0.05,13374069,-1.46466507177033,2.64351859396928,0,FALSE,3,35.711292685931,0,0.554058925521353,0.0189141850993847
"8","RWC",2011,31.847,2.693,13.519,8.111,-2,11.544,28.069,12.148,3.778,-0.493,86.4,0.9,-4.612,0,24.104,19.467,4.712,8.17,-0.04,4372418,-0.759684761904762,1.33562992771785,0,FALSE,3,18.0563809928176,0,0.568783872043669,0.0299484154778913
"9","RWC",2012,33.96,6.581,13.545,8.127,0.023,14.42,30.184,13.345,3.776,2.065,72.3,0.4,-2.547,0,27.576,23.637,2.978,7.407,0.15,6751187,0.451615,1.55044881716396,0,FALSE,3,21.0008292284858,0,0.291280173199192,0.0967461797767541
"10","RWC",2013,34.023,7.945,13.589,8.153,0.052,13.222,31.42,11.575,2.603,1.142,72.3,1.05,-1.405,0,27.023,25.664,3.072,6.908,0.08,14016369,1.66333333333333,2.64646831193597,0,FALSE,3,35.9628578908979,0,0.628510579866554,0.0302289657651248
"11","ANEN",2010,241.348,50.521,14.695,0.285,-14.409,72.185,202.926,31.361,68.422,13.712,0,0,115.298,0,168.789,89.471,0.026,1.255,0.98,13740392,6.04485645933014,15.4700522658755,0,FALSE,3,227.33241804704,0,0.390745703727462,0.0633482022657238
"12","ANEN",2011,252.645,58.388,14.9,0.288,-10.53,76.399,215.104,33.733,57.541,16.401,0,0,133.909,0,179.17,110.099,0.047,0.497,1.17,21103858,-4.54502380952381,19.1068070833787,0,FALSE,3,284.691425542343,0,0.237874585203594,0.0612347209501999
"13","ANEN",2012,213.787,21.012,13.946,0.294,-49.645,59.843,185.503,36.443,28.284,8.614,0,0,140.1,0,147.346,88.941,0,0.512,0.61,14737290,2.015575,18.685653536241,0,FALSE,3,260.590124216416,0,0.107867514298645,0.0326453660727949
"14","ANEN",2013,215.645,44.308,13.249,0.298,-16.773,66.473,189.738,34.928,25.907,15.056,0,0,157.324,0,158.374,107.463,0,-0.851,1.19,15774061,8.52047619047619,23.5200158038789,0,FALSE,3,311.616689385592,0,0.36226490073493,0.050595204098619
"15","ANDR",2010,5.788,2.221,63.721,0.637,-0.081,3.65,5.101,0.773,0.701,-0.078,168.2,1.84,-72.865,0,4.915,3.039,0.151,0.174,0.00267135642135642,8109340,0.00897727272727272,0.0803087028465432,0,FALSE,2,5.11735085408458,0,0.111784556456189,0.0332635981739233
"16","ANDR",2011,5.237,2.193,63.721,0.637,-0.04,3.146,4.728,0.702,0.509,-0.516,0,0,-73.38,0,4.164,3.08,0.132,0.155,-0.01,7017648,-0.00891785714285714,0.0612864725177568,0,FALSE,2,3.90523531530398,0,0.145511020238166,0.163168144440074
"17","ANDR",2012,3.73,1.747,63.721,0.637,0,2.333,3.295,0.633,0.435,-1.493,0,0,-74.873,0,3.325,2.263,0,0,-0.02,5720844,-0.02486,0.0465394389754029,0,FALSE,2,2.96553959095165,0,0.53417059911571,0.429743040318351
"18","ANDR",2013,2.789,1,63.721,0.637,0,2.517,2.2,0.821,0.589,-1.118,222.3,1.65,-75.991,0,3.251,1.677,0,0,-0.02,13693984,0.0239380952380952,0.070933111711261,0,FALSE,2,4.51992881135326,0,0.337474201548315,0.281955768152561
"19","AAPL",2010,75183,11261,915.97,10668,1257,26616,47791,1051,27392,14013,36.3,3.71,37123,0,65225,20956,0,-2566,15.41,5374688245,113.770285885167,258.984083985697,0,FALSE,3,237221.651408379,0,0.439294508505205,0.0595017259857986
"20","AAPL",2011,116371,9815,929.277,13331,1444,45640,76615,776,39756,25922,0,0,63284,0,108249,17018,0,-6018,28.05,4410583203,54.5499880952381,363.900377259849,0,FALSE,3,338164.250878901,0,0.149903631609279,0.0770815359170964
"21","AAPL",2012,176064,10746,939.208,16422,-1698,71867,118210,791,57854,41733,0,0,101788,0,156508,19111,0,-10868,44.64,4699913000,103.477295,575.445279227602,0,FALSE,3,540462.809812798,0,0.179821259701519,0.0775747088583619
"22","AAPL",2013,207000,14259,899.213,19764,-16379,71061,140509,1764,83451,37037,0,0,103785,0,170910,29628,0,-12282,40.03,3641464141,61.8358142857143,472.619311888582,0,FALSE,3,424985.429301267,0,0.130836410468753,0.0846981894160028
"23","ARW",2010,9600.538,926.321,114.647,125.337,270.884,2418.607,5012.398,1908.953,6349.343,479.63,37,2.4,2380.891,0,18744.676,2742.591,0,93.787,4.06,279293703,5.27806220095694,27.9691089428941,0,FALSE,3,3206.57443297598,0,0.188710416614752,0.145160148229588
"24","ARW",2011,9829.079,396.887,111.814,125.382,-13.919,2948.603,5603.083,1963.91,6153.819,598.81,37,2.4,2902.114,0,21390.264,3065.664,0,113.216,5.25,286795476,0.0206666666666635,37.1477520848399,0,FALSE,3,4153.63875161429,0,0.00055633693848995,0.141327528729324
"25","ARW",2012,10785.687,409.684,106.001,125.424,-257.681,2737.286,5574.84,2052.72,6798.325,506.332,39,1,3424.426,0,20405.128,2805.09,0,114.867,4.64,186890618,-1.1435,37.1150420228767,0,FALSE,3,3934.23156946695,0,0.0308096108121117,0.125016698004546
"26","ARW",2013,12060.883,390.602,99.936,125.424,-26.575,2790.929,6410.96,2167.287,7876.055,399.42,41,1,3904.261,0,21357.285,3283.824,0,86.225,3.89,162832225,13.6066666666667,43.9175398435152,0,FALSE,3,4388.94326180154,0,0.309823061928087,0.0885750889931597
